site_code,landing_date,species,catch_kg,boats_active
KOR-01,2024-09-01,Tilapia,767.7,18
KOR-01,2024-09-01,Common carp,350.2,7
OSE-01,2024-09-01,Tilapia,669.8,8
OSE-01,2024-09-01,Common carp,331.3,17
CRE-01,2024-09-01,Tilapia,794.5,10
CRE-01,2024-09-01,Common carp,383.6,18
KWS-ANX,2024-09-01,Tilapia,645.2,7
KWS-ANX,2024-09-01,Common carp,373.3,10
KOR-01,2024-10-01,Tilapia,768.4,14
KOR-01,2024-10-01,Common carp,338.7,8
OSE-01,2024-10-01,Tilapia,670.6,8
OSE-01,2024-10-01,Common carp,331.9,18
CRE-01,2024-10-01,Tilapia,785.3,6
CRE-01,2024-10-01,Common carp,337.7,13
KWS-ANX,2024-10-01,Tilapia,596.5,11
KWS-ANX,2024-10-01,Common carp,365.3,18
KOR-01,2024-11-01,Tilapia,640.7,6
KOR-01,2024-11-01,Common carp,295.1,15
OSE-01,2024-11-01,Tilapia,771.2,7
OSE-01,2024-11-01,Common carp,342.3,7
CRE-01,2024-11-01,Tilapia,777.5,14
CRE-01,2024-11-01,Common carp,345.5,8
KWS-ANX,2024-11-01,Tilapia,712.6,14
KWS-ANX,2024-11-01,Common carp,287.9,14
KOR-01,2024-12-01,Tilapia,737.1,12
KOR-01,2024-12-01,Common carp,355.5,14
OSE-01,2024-12-01,Tilapia,713.8,17
OSE-01,2024-12-01,Common carp,284.0,10
CRE-01,2024-12-01,Tilapia,642.9,16
CRE-01,2024-12-01,Common carp,326.0,13
KWS-ANX,2024-12-01,Tilapia,742.5,13
KWS-ANX,2024-12-01,Common carp,276.5,9
KOR-01,2025-01-01,Tilapia,738.8,6
KOR-01,2025-01-01,Common carp,410.6,9
OSE-01,2025-01-01,Tilapia,872.6,6
OSE-01,2025-01-01,Common carp,348.5,16
CRE-01,2025-01-01,Tilapia,737.5,7
CRE-01,2025-01-01,Common carp,448.7,11
KWS-ANX,2025-01-01,Tilapia,740.6,9
KWS-ANX,2025-01-01,Common carp,373.4,13
KOR-01,2025-02-01,Tilapia,800.4,8
KOR-01,2025-02-01,Common carp,439.6,15
OSE-01,2025-02-01,Tilapia,869.4,9
OSE-01,2025-02-01,Common carp,434.2,18
CRE-01,2025-02-01,Tilapia,826.3,7
CRE-01,2025-02-01,Common carp,351.6,12
KWS-ANX,2025-02-01,Tilapia,812.8,12
KWS-ANX,2025-02-01,Common carp,396.0,17
KOR-01,2025-03-01,Tilapia,780.5,16
KOR-01,2025-03-01,Common carp,485.6,7
OSE-01,2025-03-01,Tilapia,738.0,17
OSE-01,2025-03-01,Common carp,380.7,7
CRE-01,2025-03-01,Tilapia,785.9,9
CRE-01,2025-03-01,Common carp,404.4,8
KWS-ANX,2025-03-01,Tilapia,830.1,10
KWS-ANX,2025-03-01,Common carp,395.5,7
KOR-01,2025-04-01,Tilapia,910.7,14
KOR-01,2025-04-01,Common carp,383.4,16
OSE-01,2025-04-01,Tilapia,977.3,6
OSE-01,2025-04-01,Common carp,456.3,18
CRE-01,2025-04-01,Tilapia,938.9,8
CRE-01,2025-04-01,Common carp,388.8,13
KWS-ANX,2025-04-01,Tilapia,777.0,12
KWS-ANX,2025-04-01,Common carp,448.3,8
KOR-01,2025-05-01,Tilapia,917.4,12
KOR-01,2025-05-01,Common carp,416.4,18
OSE-01,2025-05-01,Tilapia,922.7,10
OSE-01,2025-05-01,Common carp,390.8,17
CRE-01,2025-05-01,Tilapia,976.3,14
CRE-01,2025-05-01,Common carp,419.4,13
KWS-ANX,2025-05-01,Tilapia,762.0,10
KWS-ANX,2025-05-01,Common carp,366.1,6
KOR-01,2025-06-01,Tilapia,1000.7,14
KOR-01,2025-06-01,Common carp,399.4,11
OSE-01,2025-06-01,Tilapia,737.1,15
OSE-01,2025-06-01,Common carp,397.2,14
CRE-01,2025-06-01,Tilapia,762.6,14
CRE-01,2025-06-01,Common carp,349.6,8
KWS-ANX,2025-06-01,Tilapia,740.0,7
KWS-ANX,2025-06-01,Common carp,421.0,9
KOR-01,2025-07-01,Tilapia,974.0,15
KOR-01,2025-07-01,Common carp,436.1,15
OSE-01,2025-07-01,Tilapia,732.6,7
OSE-01,2025-07-01,Common carp,390.3,15
CRE-01,2025-07-01,Tilapia,866.6,11
CRE-01,2025-07-01,Common carp,452.2,9
KWS-ANX,2025-07-01,Tilapia,893.3,11
KWS-ANX,2025-07-01,Common carp,368.6,12
KOR-01,2025-08-01,Tilapia,914.6,16
KOR-01,2025-08-01,Common carp,455.0,11
OSE-01,2025-08-01,Tilapia,959.4,7
OSE-01,2025-08-01,Common carp,341.1,15
CRE-01,2025-08-01,Tilapia,977.1,7
CRE-01,2025-08-01,Common carp,348.8,9
KWS-ANX,2025-08-01,Tilapia,851.5,8
KWS-ANX,2025-08-01,Common carp,452.0,7
KOR-01,2025-09-01,Tilapia,1173.9,11
KOR-01,2025-09-01,Common carp,464.0,13
OSE-01,2025-09-01,Tilapia,935.1,17
OSE-01,2025-09-01,Common carp,376.3,18
CRE-01,2025-09-01,Tilapia,889.3,6
CRE-01,2025-09-01,Common carp,420.1,14
KWS-ANX,2025-09-01,Tilapia,798.8,16
KWS-ANX,2025-09-01,Common carp,352.4,8
KOR-01,2025-10-01,Tilapia,1003.2,7
KOR-01,2025-10-01,Common carp,544.9,8
OSE-01,2025-10-01,Tilapia,791.9,15
OSE-01,2025-10-01,Common carp,365.3,11
CRE-01,2025-10-01,Tilapia,774.4,16
CRE-01,2025-10-01,Common carp,442.3,14
KWS-ANX,2025-10-01,Tilapia,847.1,6
KWS-ANX,2025-10-01,Common carp,351.1,12
KOR-01,2025-11-01,Tilapia,1214.2,6
KOR-01,2025-11-01,Common carp,442.6,18
OSE-01,2025-11-01,Tilapia,755.9,10
OSE-01,2025-11-01,Common carp,359.4,13
CRE-01,2025-11-01,Tilapia,863.2,12
CRE-01,2025-11-01,Common carp,407.3,7
KWS-ANX,2025-11-01,Tilapia,741.7,17
KWS-ANX,2025-11-01,Common carp,448.5,14
KOR-01,2025-12-01,Tilapia,973.1,11
KOR-01,2025-12-01,Common carp,545.2,8
OSE-01,2025-12-01,Tilapia,832.1,6
OSE-01,2025-12-01,Common carp,377.0,18
CRE-01,2025-12-01,Tilapia,970.4,6
CRE-01,2025-12-01,Common carp,447.9,9
KWS-ANX,2025-12-01,Tilapia,896.4,16
KWS-ANX,2025-12-01,Common carp,352.3,18
